,start,end,number
0,101,101,8
1,101,103,1
2,101,104,2
3,101,106,6
4,101,109,1
5,101,128,3
6,101,130,1
7,101,146,1
8,101,147,1
9,101,151,8
10,101,152,1
11,101,182,1
12,101,493,1
13,101,497,2
14,101,800,1
15,101,3009,2
16,101,3010,1
17,101,3119,1
18,102,102,19
19,102,103,3
20,102,104,5
21,102,106,2
22,102,107,8
23,102,108,3
24,102,109,3
25,102,111,1
26,102,114,4
27,102,115,1
28,102,116,11
29,102,126,1
30,102,130,2
31,102,133,2
32,102,147,1
33,102,151,3
34,102,152,9
35,102,153,4
36,102,155,2
37,102,182,2
38,102,183,1
39,102,184,8
40,102,191,2
41,102,195,1
42,102,228,1
43,102,243,1
44,102,272,1
45,102,394,1
46,102,406,1
47,102,413,1
48,102,414,1
49,102,438,5
50,102,446,1
51,102,497,2
52,102,498,9
53,102,907,2
54,102,914,2
55,102,972,1
56,102,996,2
57,102,1380,1
58,102,3002,9
59,102,3009,7
60,102,3102,1
61,102,3106,1
62,102,3107,2
63,102,3116,1
64,102,3120,1
65,102,3125,1
66,102,3129,1
67,102,3207,1
68,102,4210,1
69,103,101,1
70,103,102,2
71,103,103,7
72,103,105,2
73,103,106,4
74,103,107,6
75,103,108,1
76,103,111,2
77,103,114,3
78,103,115,1
79,103,116,1
80,103,151,1
81,103,152,7
82,103,154,4
83,103,155,2
84,103,157,1
85,103,165,1
86,103,182,3
87,103,184,3
88,103,244,1
89,103,288,1
90,103,394,1
91,103,406,1
92,103,421,1
93,103,427,1
94,103,497,4
95,103,498,4
96,103,852,1
97,103,913,1
98,103,914,1
99,103,956,3
100,103,1117,1
101,103,3002,4
102,103,3010,4
103,103,3102,2
104,103,3107,1
105,103,3119,6
106,103,3129,1
107,104,101,9
108,104,102,2
109,104,104,5
110,104,105,3
111,104,106,1
112,104,108,3
113,104,109,1
114,104,111,1
115,104,112,1
116,104,114,5
117,104,115,2
118,104,116,1
119,104,126,1
120,104,128,1
121,104,150,1
122,104,151,9
123,104,152,6
124,104,153,1
125,104,154,11
126,104,165,1
127,104,166,1
128,104,176,1
129,104,179,1
130,104,181,1
131,104,182,6
132,104,183,1
133,104,186,1
134,104,215,2
135,104,229,1
136,104,243,1
137,104,270,1
138,104,279,1
139,104,421,2
140,104,493,1
141,104,726,1
142,104,796,1
143,104,923,1
144,104,943,1
145,104,956,1
146,104,979,1
147,104,1057,1
148,104,1127,1
149,104,2102,1
150,104,2183,1
151,104,3009,4
152,104,3010,2
153,104,3011,2
154,104,3119,2
155,104,3789,1
156,105,101,1
157,105,102,1
158,105,105,6
159,105,107,1
160,105,108,4
161,105,111,1
162,105,112,9
163,105,114,6
164,105,119,13
165,105,123,2
166,105,130,1
167,105,138,1
168,105,154,1
169,105,182,4
170,105,183,1
171,105,184,1
172,105,202,2
173,105,229,3
174,105,247,2
175,105,284,1
176,105,296,1
177,105,493,2
178,105,497,2
179,105,498,2
180,105,787,1
181,105,826,1
182,105,1929,7
183,105,3002,1
184,105,3009,1
185,105,3010,7
186,105,3107,1
187,106,101,6
188,106,102,4
189,106,103,1
190,106,104,1
191,106,105,1
192,106,106,11
193,106,107,1
194,106,108,3
195,106,109,14
196,106,114,6
197,106,115,1
198,106,126,2
199,106,130,1
200,106,135,2
201,106,148,5
202,106,151,16
203,106,152,6
204,106,154,1
205,106,162,2
206,106,175,1
207,106,182,5
208,106,183,1
209,106,184,6
210,106,185,2
211,106,188,1
212,106,194,3
213,106,228,5
214,106,229,1
215,106,230,1
216,106,240,1
217,106,247,2
218,106,252,1
219,106,262,2
220,106,268,4
221,106,402,1
222,106,412,2
223,106,438,1
224,106,439,6
225,106,493,1
226,106,495,1
227,106,497,2
228,106,498,2
229,106,565,1
230,106,583,2
231,106,701,1
232,106,722,1
233,106,726,1
234,106,791,1
235,106,809,2
236,106,832,4
237,106,844,1
238,106,845,1
239,106,907,1
240,106,931,2
241,106,947,1
242,106,982,4
243,106,996,2
244,106,1118,1
245,106,1122,1
246,106,1148,1
247,106,1260,1
248,106,1804,1
249,106,2102,1
250,106,2219,1
251,106,2221,1
252,106,2307,1
253,106,2316,1
254,106,2907,1
255,106,3009,1
256,106,3010,2
257,106,3106,1
258,106,3107,2
259,106,3117,3
260,106,3121,1
261,106,3124,4
262,106,3125,1
263,107,101,5
264,107,102,9
265,107,103,5
266,107,104,2
267,107,107,15
268,107,108,1
269,107,109,1
270,107,114,6
271,107,116,4
272,107,117,1
273,107,123,1
274,107,130,2
275,107,135,1
276,107,144,1
277,107,151,5
278,107,152,4
279,107,153,3
280,107,154,4
281,107,166,5
282,107,175,1
283,107,176,3
284,107,182,2
285,107,183,4
286,107,184,11
287,107,226,2
288,107,415,1
289,107,438,3
290,107,493,3
291,107,497,3
292,107,498,1
293,107,585,4
294,107,732,1
295,107,906,1
296,107,911,1
297,107,913,1
298,107,914,6
299,107,931,13
300,107,961,1
301,107,1129,3
302,107,1985,1
303,107,3002,1
304,107,3009,4
305,107,3010,4
306,107,3011,1
307,107,3102,3
308,107,3115,1
309,107,3127,1
310,107,3128,6
311,107,3129,1
312,107,3130,1
313,107,4654,1
314,108,102,5
315,108,103,9
316,108,105,2
317,108,107,1
318,108,108,3
319,108,109,1
320,108,111,2
321,108,112,1
322,108,114,10
323,108,115,1
324,108,130,2
325,108,147,1
326,108,151,1
327,108,152,1
328,108,153,1
329,108,155,1
330,108,166,10
331,108,183,4
332,108,185,1
333,108,215,2
334,108,267,1
335,108,438,9
336,108,493,3
337,108,497,3
338,108,498,4
339,108,726,1
340,108,2525,1
341,108,3009,1
342,108,3010,10
343,108,3116,1
344,108,3119,1
345,108,3203,1
346,109,101,3
347,109,102,1
348,109,103,1
349,109,104,1
350,109,105,5
351,109,106,8
352,109,107,1
353,109,109,4
354,109,114,1
355,109,115,1
356,109,118,1
357,109,130,2
358,109,135,1
359,109,152,1
360,109,154,1
361,109,183,1
362,109,184,1
363,109,201,1
364,109,210,1
365,109,244,1
366,109,247,1
367,109,298,1
368,109,437,1
369,109,438,1
370,109,493,1
371,109,497,3
372,109,785,1
373,109,805,1
374,109,3010,3
375,111,101,1
376,111,102,1
377,111,103,2
378,111,105,1
379,111,106,1
380,111,108,3
381,111,109,3
382,111,111,6
383,111,112,1
384,111,114,1
385,111,118,1
386,111,120,1
387,111,144,1
388,111,145,1
389,111,152,2
390,111,154,1
391,111,185,1
392,111,210,1
393,111,248,1
394,111,361,1
395,111,498,1
396,111,565,1
397,111,839,1
398,111,852,1
399,111,853,1
400,111,1904,1
401,111,2015,1
402,111,3009,1
403,111,3010,3
404,111,3511,1
405,112,102,3
406,112,104,1
407,112,105,1
408,112,106,1
409,112,108,4
410,112,109,1
411,112,112,4
412,112,114,1
413,112,119,1
414,112,120,1
415,112,124,2
416,112,128,1
417,112,144,5
418,112,151,2
419,112,152,2
420,112,166,1
421,112,183,1
422,112,201,1
423,112,257,1
424,112,487,2
425,112,493,3
426,112,2210,1
427,112,3010,2
428,112,3116,1
429,112,4775,1
430,114,102,4
431,114,103,1
432,114,105,2
433,114,106,3
434,114,107,8
435,114,108,2
436,114,109,5
