,start,end,number
0,101,101,1
1,101,103,1
2,101,104,15
3,101,105,8
4,101,106,2
5,101,107,1
6,101,109,8
7,101,116,2
8,101,130,3
9,101,148,3
10,101,152,1
11,101,203,3
12,101,412,3
13,101,497,1
14,101,3116,5
15,102,102,2
16,102,103,2
17,102,105,1
18,102,107,13
19,102,108,1
20,102,151,2
21,102,152,1
22,102,154,1
23,102,183,8
24,102,184,1
25,102,186,5
26,102,202,5
27,102,204,5
28,102,222,1
29,102,223,1
30,102,439,2
31,102,493,1
32,102,498,1
33,102,512,1
34,102,2268,2
35,102,2503,1
36,102,2548,1
37,102,3005,2
38,102,3009,15
39,102,3010,1
40,102,3102,1
41,103,102,1
42,103,103,2
43,103,104,1
44,103,107,1
45,103,144,1
46,103,182,2
47,103,184,3
48,103,438,1
49,103,492,1
50,103,497,1
51,103,512,1
52,103,3005,1
53,103,3009,3
54,103,3010,2
55,103,3102,2
56,103,3116,2
57,104,104,6
58,104,105,4
59,104,107,6
60,104,108,1
61,104,120,1
62,104,124,1
63,104,142,1
64,104,152,1
65,104,169,1
66,104,176,1
67,104,182,2
68,104,184,1
69,104,186,2
70,104,497,2
71,104,1965,2
72,104,3009,8
73,104,3010,1
74,104,3102,1
75,105,108,1
76,105,109,20
77,105,124,3
78,105,130,1
79,105,184,1
80,105,293,1
81,105,2077,1
82,105,3009,4
83,105,3102,1
84,105,3107,1
85,106,103,1
86,106,106,3
87,106,108,1
88,106,109,1
89,106,120,1
90,106,151,1
91,106,183,1
92,106,256,1
93,106,263,1
94,106,1158,1
95,106,3009,3
96,107,102,1
97,107,103,2
98,107,107,2
99,107,116,13
100,107,152,1
101,107,166,1
102,107,417,1
103,107,437,8
104,107,439,1
105,107,493,1
106,107,972,1
107,108,104,1
108,108,105,1
109,108,107,1
110,108,108,4
111,108,114,2
112,108,115,1
113,108,124,1
114,108,131,1
115,108,151,1
116,108,186,12
117,108,268,1
118,108,420,1
119,108,493,1
120,108,915,1
121,109,106,2
122,109,109,4
123,109,118,1
124,109,119,1
125,109,148,9
126,109,186,1
127,109,210,2
128,109,420,2
129,109,494,1
130,109,497,4
131,109,826,1
132,111,111,1
133,111,114,2
134,111,119,1
135,111,134,1
136,111,495,1
137,112,105,2
138,112,112,2
139,112,118,1
140,112,119,2
141,112,130,1
142,112,3005,3
143,112,3010,2
144,114,102,4
145,114,103,1
146,114,104,5
147,114,105,1
148,114,107,9
149,114,108,10
150,114,111,1
151,114,112,1
152,114,114,8
153,114,116,15
154,114,121,1
155,114,124,1
156,114,127,1
157,114,129,1
158,114,134,2
159,114,145,1
160,114,150,7
161,114,153,1
162,114,154,1
163,114,156,1
164,114,164,1
165,114,176,1
166,114,183,10
167,114,267,1
168,114,426,5
169,114,487,3
170,114,494,3
171,114,498,1
172,114,915,1
173,114,3009,12
174,114,3010,2
175,114,3011,2
176,115,103,1
177,115,107,1
178,115,112,3
179,115,138,1
180,115,154,10
181,115,177,1
182,115,184,1
183,115,967,2
184,115,3119,4
185,116,102,12
186,116,107,1
187,116,114,7
188,116,139,1
189,116,141,4
190,116,176,1
191,116,183,1
192,116,196,1
193,116,412,1
194,116,498,1
195,116,3009,1
196,116,3010,21
197,116,3119,1
198,116,3129,4
199,117,117,19
200,117,123,10
201,117,130,1
202,117,133,1
203,117,134,1
204,117,152,3
205,117,155,1
206,117,161,1
207,117,164,7
208,117,166,1
209,117,175,3
210,117,176,2
211,117,179,5
212,117,188,1
213,117,202,1
214,117,233,1
215,117,327,1
216,117,348,1
217,117,391,2
218,117,409,6
219,117,411,1
220,117,415,3
221,117,421,4
222,117,426,9
223,117,907,1
224,117,978,1
225,117,1075,1
226,117,3010,1
227,117,3101,15
228,117,3103,4
229,117,3105,1
230,117,3106,1
231,117,3110,1
232,117,3119,2
233,117,3127,3
234,117,3128,2
235,117,3131,1
236,118,119,1
237,118,122,3
238,118,129,3
239,118,134,3
240,118,146,6
241,118,148,3
242,118,150,1
243,118,201,4
244,118,260,1
245,118,487,1
246,118,495,1
247,118,726,1
248,118,2025,8
249,118,3011,1
250,118,3114,1
251,119,105,8
252,119,109,1
253,119,112,1
254,119,119,2
255,119,129,3
256,119,146,2
257,119,207,4
258,119,248,2
259,119,425,1
260,119,494,1
261,119,726,4
262,119,2025,1
263,119,4206,2
264,120,118,1
265,120,121,1
266,120,122,2
267,120,129,2
268,120,146,1
269,120,185,1
270,120,267,2
271,120,437,1
272,120,487,1
273,120,493,1
274,121,112,1
275,121,118,7
276,121,121,1
277,121,122,2
278,121,129,2
279,121,130,1
280,121,143,1
281,121,146,1
282,121,148,1
283,121,150,2
284,121,406,1
285,121,565,1
286,121,729,8
287,121,826,2
288,121,838,1
289,121,3114,3
290,121,4206,2
291,122,119,1
292,122,121,1
293,122,122,4
294,122,126,3
295,122,130,1
296,122,134,16
297,122,135,1
298,122,143,4
299,122,144,1
300,122,157,1
301,122,299,2
302,122,495,7
303,122,3010,8
304,122,3116,1
305,123,115,1
306,123,117,2
307,123,123,5
308,123,153,1
309,123,161,1
310,123,166,3
311,123,170,2
312,123,173,1
313,123,175,5
314,123,192,1
315,123,301,1
316,123,307,3
317,123,308,4
318,123,316,2
319,123,332,1
320,123,359,5
321,123,384,1
322,123,394,5
323,123,395,6
324,123,411,4
325,123,414,1
