,start,end,number
0,101,101,44
1,101,102,10
2,101,103,12
3,101,104,26
4,101,105,18
5,101,106,18
6,101,107,8
7,101,108,1
8,101,109,21
9,101,114,1
10,101,116,5
11,101,128,3
12,101,130,4
13,101,135,5
14,101,146,1
15,101,147,1
16,101,148,7
17,101,151,19
18,101,152,6
19,101,154,2
20,101,182,5
21,101,183,1
22,101,203,3
23,101,412,3
24,101,420,1
25,101,493,2
26,101,495,2
27,101,497,6
28,101,800,1
29,101,906,2
30,101,3009,4
31,101,3010,1
32,101,3116,5
33,101,3119,5
34,102,101,18
35,102,102,65
36,102,103,10
37,102,104,13
38,102,105,6
39,102,106,8
40,102,107,44
41,102,108,8
42,102,109,6
43,102,111,2
44,102,114,9
45,102,115,2
46,102,116,23
47,102,117,3
48,102,119,1
49,102,123,1
50,102,126,1
51,102,128,1
52,102,130,2
53,102,131,3
54,102,133,2
55,102,144,1
56,102,147,2
57,102,150,1
58,102,151,21
59,102,152,23
60,102,153,27
61,102,154,10
62,102,155,5
63,102,169,1
64,102,176,1
65,102,178,1
66,102,182,5
67,102,183,19
68,102,184,42
69,102,186,6
70,102,191,10
71,102,192,1
72,102,194,1
73,102,195,9
74,102,202,8
75,102,204,5
76,102,222,1
77,102,223,1
78,102,228,4
79,102,233,3
80,102,243,1
81,102,257,2
82,102,272,1
83,102,277,1
84,102,394,1
85,102,406,1
86,102,413,1
87,102,414,2
88,102,418,2
89,102,419,1
90,102,420,1
91,102,421,3
92,102,426,1
93,102,427,4
94,102,432,3
95,102,438,18
96,102,439,2
97,102,446,1
98,102,490,1
99,102,492,2
100,102,493,21
101,102,497,23
102,102,498,20
103,102,512,1
104,102,712,2
105,102,806,1
106,102,810,3
107,102,834,1
108,102,905,4
109,102,906,8
110,102,907,2
111,102,912,1
112,102,913,1
113,102,914,5
114,102,921,2
115,102,931,3
116,102,933,2
117,102,950,3
118,102,972,1
119,102,996,5
120,102,1158,1
121,102,1172,1
122,102,1380,1
123,102,2080,1
124,102,2268,4
125,102,2503,2
126,102,2548,1
127,102,3002,18
128,102,3005,3
129,102,3009,33
130,102,3010,8
131,102,3011,1
132,102,3102,2
133,102,3106,1
134,102,3107,2
135,102,3114,1
136,102,3116,1
137,102,3119,9
138,102,3120,1
139,102,3121,1
140,102,3123,1
141,102,3125,2
142,102,3129,3
143,102,3201,1
144,102,3207,1
145,102,4210,1
146,102,4654,1
147,103,101,9
148,103,102,11
149,103,103,36
150,103,104,5
151,103,105,7
152,103,106,6
153,103,107,15
154,103,108,3
155,103,109,2
156,103,111,2
157,103,114,11
158,103,115,1
159,103,116,8
160,103,117,1
161,103,118,1
162,103,125,1
163,103,128,2
164,103,140,1
165,103,144,1
166,103,151,23
167,103,152,11
168,103,153,1
169,103,154,20
170,103,155,4
171,103,157,1
172,103,165,1
173,103,175,1
174,103,176,4
175,103,178,2
176,103,182,11
177,103,183,3
178,103,184,11
179,103,186,3
180,103,201,1
181,103,206,1
182,103,228,4
183,103,230,1
184,103,244,1
185,103,267,1
186,103,283,2
187,103,288,1
188,103,367,1
189,103,394,1
190,103,402,1
191,103,406,1
192,103,408,1
193,103,419,1
194,103,421,6
195,103,427,1
196,103,432,2
197,103,438,5
198,103,487,4
199,103,492,3
200,103,493,2
201,103,497,15
202,103,498,10
203,103,512,1
204,103,565,1
205,103,809,1
206,103,831,1
207,103,852,1
208,103,907,1
209,103,913,1
210,103,914,2
211,103,915,2
212,103,916,1
213,103,933,1
214,103,939,1
215,103,949,1
216,103,956,4
217,103,985,1
218,103,1117,1
219,103,1118,1
