,start,end,number
0,101,101,15
1,101,102,7
2,101,103,7
3,101,104,5
4,101,105,5
5,101,106,6
6,101,107,5
7,101,108,1
8,101,109,7
9,101,114,1
10,101,116,1
11,101,130,2
12,101,144,2
13,101,148,1
14,101,151,11
15,101,152,5
16,101,176,2
17,101,179,1
18,101,182,5
19,101,183,1
20,101,184,3
21,101,186,1
22,101,243,1
23,101,290,1
24,101,420,1
25,101,497,2
26,101,773,1
27,101,906,1
28,101,921,1
29,101,2179,1
30,101,2310,1
31,101,3009,2
32,101,3119,3
33,102,101,14
34,102,102,43
35,102,103,8
36,102,104,6
37,102,105,4
38,102,106,8
39,102,107,15
40,102,108,4
41,102,109,7
42,102,111,5
43,102,114,13
44,102,116,1
45,102,117,2
46,102,130,1
47,102,131,1
48,102,135,1
49,102,151,11
50,102,152,23
51,102,153,11
52,102,154,15
53,102,165,1
54,102,166,1
55,102,167,1
56,102,175,1
57,102,176,1
58,102,178,2
59,102,179,1
60,102,181,3
61,102,182,5
62,102,183,4
63,102,184,18
64,102,195,2
65,102,196,1
66,102,202,3
67,102,221,2
68,102,228,1
69,102,245,1
70,102,247,2
71,102,283,2
72,102,403,1
73,102,408,1
74,102,411,1
75,102,412,1
76,102,418,1
77,102,419,1
78,102,420,1
79,102,421,6
80,102,424,1
81,102,425,1
82,102,426,1
83,102,427,3
84,102,432,3
85,102,438,11
86,102,446,2
87,102,487,2
88,102,490,1
89,102,493,3
90,102,497,12
91,102,498,3
92,102,565,3
93,102,834,1
94,102,906,2
95,102,907,1
96,102,912,1
97,102,913,1
98,102,914,1
99,102,915,1
100,102,916,1
101,102,932,1
102,102,950,1
103,102,956,2
104,102,962,2
105,102,972,1
106,102,982,2
107,102,1135,1
108,102,2220,1
109,102,2610,1
110,102,2823,1
111,102,3002,12
112,102,3005,1
113,102,3009,21
114,102,3010,13
115,102,3101,1
116,102,3102,5
117,102,3119,3
118,102,3123,2
119,102,3124,1
120,102,3128,1
121,102,3131,1
122,102,3765,1
123,102,4202,1
124,102,4618,1
125,102,4654,1
126,103,101,10
127,103,102,7
128,103,103,35
129,103,104,2
130,103,105,4
131,103,106,4
132,103,107,9
133,103,108,3
134,103,109,5
135,103,112,1
136,103,114,12
137,103,115,3
138,103,116,4
139,103,117,1
140,103,118,1
141,103,119,1
142,103,121,1
143,103,126,2
144,103,128,2
145,103,130,1
146,103,131,3
147,103,133,2
148,103,143,1
149,103,145,2
150,103,146,1
151,103,151,10
152,103,152,16
153,103,153,4
154,103,154,7
155,103,160,1
156,103,176,4
157,103,178,1
158,103,182,13
159,103,183,2
160,103,184,3
161,103,186,2
162,103,195,1
163,103,222,1
164,103,240,1
165,103,245,1
166,103,267,1
167,103,283,2
168,103,284,1
169,103,288,1
170,103,418,4
171,103,419,3
172,103,420,1
173,103,438,1
174,103,440,4
175,103,487,3
176,103,493,1
177,103,497,8
178,103,498,3
179,103,797,1
180,103,818,1
181,103,906,1
182,103,907,2
183,103,913,1
184,103,956,3
185,103,1120,1
186,103,3002,4
187,103,3009,7
188,103,3010,4
189,103,3101,1
190,103,3113,1
191,103,3119,4
192,103,3125,1
193,103,3221,1
194,104,101,5
195,104,102,2
196,104,103,2
197,104,104,12
198,104,105,1
199,104,106,3
200,104,107,1
201,104,108,2
202,104,109,2
203,104,111,4
204,104,112,2
205,104,114,9
206,104,116,1
207,104,119,1
208,104,123,1
209,104,125,1
210,104,128,2
211,104,130,2
212,104,141,1
213,104,151,2
214,104,152,12
215,104,153,2
216,104,154,4
217,104,155,2
218,104,165,1
219,104,183,1
220,104,184,4
221,104,227,2
